CMDLINE /mnt/Data_Volume/Computer_Programs/Anaconda/envs/few_env/bin/python main.py -p -d
MEM 0.011719 1673871543.1457
MEM 25.171875 1673871543.2459
MEM 38.367188 1673871543.3461
MEM 55.796875 1673871543.4463
MEM 80.031250 1673871543.5466
MEM 85.781250 1673871543.6468
MEM 94.457031 1673871543.7471
MEM 94.500000 1673871543.8473
MEM 103.664062 1673871543.9475
MEM 121.605469 1673871544.0478
MEM 164.632812 1673871544.1480
MEM 206.468750 1673871544.2483
MEM 212.535156 1673871544.3485
MEM 218.476562 1673871544.4488
MEM 221.148438 1673871544.5490
MEM 244.765625 1673871544.6493
MEM 257.492188 1673871544.7496
MEM 276.312500 1673871544.8499
MEM 293.843750 1673871544.9501
MEM 309.828125 1673871545.0504
MEM 316.789062 1673871545.1507
MEM 383.820312 1673871545.2510
MEM 411.148438 1673871545.3513
MEM 417.394531 1673871545.4516
MEM 422.281250 1673871545.5519
MEM 420.593750 1673871545.6522
MEM 420.593750 1673871545.7524
MEM 420.593750 1673871545.8527
MEM 420.593750 1673871545.9529
MEM 420.593750 1673871546.0532
MEM 424.457031 1673871546.1535
MEM 424.457031 1673871546.2538
MEM 439.328125 1673871546.3540
MEM 439.699219 1673871546.4543
MEM 439.699219 1673871546.5546
MEM 439.699219 1673871546.6549
MEM 439.699219 1673871546.7552
MEM 439.699219 1673871546.8554
MEM 439.699219 1673871546.9557
MEM 439.699219 1673871547.0561
MEM 454.132812 1673871547.1564
MEM 454.136719 1673871547.2566
MEM 454.136719 1673871547.3569
MEM 454.136719 1673871547.4572
MEM 454.136719 1673871547.5575
MEM 454.136719 1673871547.6578
MEM 454.136719 1673871547.7581
MEM 454.648438 1673871547.8584
MEM 469.859375 1673871547.9587
MEM 470.093750 1673871548.0589
MEM 470.093750 1673871548.1592
MEM 470.093750 1673871548.2596
MEM 470.093750 1673871548.3599
MEM 470.093750 1673871548.4602
MEM 470.093750 1673871548.5605
MEM 470.093750 1673871548.6608
MEM 477.824219 1673871548.7610
MEM 484.519531 1673871548.8613
MEM 484.519531 1673871548.9616
MEM 484.519531 1673871549.0619
MEM 484.519531 1673871549.1622
MEM 484.519531 1673871549.2625
MEM 484.519531 1673871549.3628
